"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Alrayes F.S.; Mtouaa W.; Aljameel S.S.; Maashi M.; Rizwanullah M.; Salama A.S.","Alrayes, Fatma S. (57192999222); Mtouaa, Wafa (58203619500); Aljameel, Sumayh S. (57193404866); Maashi, Mashael (57216199758); Rizwanullah, Mohammed (57263769000); Salama, Ahmed S. (56480035100)","57192999222; 58203619500; 57193404866; 57216199758; 57263769000; 56480035100","Improved Radial Movement Optimization With Fuzzy Neural Network Enabled Anomaly Detection for IoT Assisted Smart Cities","2023","IEEE Access","11","","","143060","143068","8","2","10.1109/ACCESS.2023.3342698","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179792648&doi=10.1109%2fACCESS.2023.3342698&partnerID=40&md5=e97eb1d79a2f7b28ed3a1e3223b863a5","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85179792648"
"Marefat A.; Mohamed Nishar A.A.; Ashok A.","Marefat, Alireza (57192216653); Mohamed Nishar, Abbaas Alif (59008508400); Ashok, Ashwin (57203025970)","57192216653; 59008508400; 57203025970","A Framework for Classifying Applications from Raw Network Traffic Traces","2024","Conference Proceedings - IEEE SOUTHEASTCON","","","","1006","1015","9","0","10.1109/SoutheastCon52093.2024.10500148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191717059&doi=10.1109%2fSoutheastCon52093.2024.10500148&partnerID=40&md5=71322f71543d4af0bd171df11f2869f4","Conference paper","Final","","Scopus","2-s2.0-85191717059"
"Ramu C.; Rao T.S.; Rao E.U.S.","Ramu, Ch.Kodanda (58891014600); Rao, T. Srinivasa (56964881700); Rao, E. Uma Shankar (57192546073)","58891014600; 56964881700; 57192546073","Attack classification in network intrusion detection system based on optimization strategy and deep learning methodology","2024","Multimedia Tools and Applications","83","31","","75533","75555","22","2","10.1007/s11042-024-18558-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185331778&doi=10.1007%2fs11042-024-18558-5&partnerID=40&md5=5f3ee8124aeb2ad54af00f9e306fdd5e","Article","Final","","Scopus","2-s2.0-85185331778"
"Luo Y.; Chen X.; Ge N.; Feng W.; Lu J.","Luo, Yantian (57222903961); Chen, Xu (57211101682); Ge, Ning (7005864121); Feng, Wei (57209853990); Lu, Jianhua (7601561492)","57222903961; 57211101682; 7005864121; 57209853990; 7601561492","Transformer-Based Device-Type Identification in Heterogeneous IoT Traffic","2023","IEEE Internet of Things Journal","10","6","","5050","5062","12","21","10.1109/JIOT.2022.3221967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142820041&doi=10.1109%2fJIOT.2022.3221967&partnerID=40&md5=c94b970dc7bc353df7cf071ef8c921ef","Article","Final","","Scopus","2-s2.0-85142820041"
"Alshammari A.; Aldribi A.","Alshammari, Amirah (57224588853); Aldribi, Abdulaziz (57028416800)","57224588853; 57028416800","Apply machine learning techniques to detect malicious network traffic in cloud computing","2021","Journal of Big Data","8","1","90","","","","56","10.1186/s40537-021-00475-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107998736&doi=10.1186%2fs40537-021-00475-1&partnerID=40&md5=1620ebb0faa47785415e98c508bcd6a2","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85107998736"
"","","","2021 4th International Conference on Computer Information Science and Application Technology, CISAT 2021","2021","Journal of Physics: Conference Series","2010","1","","","","1620","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115112204&partnerID=40&md5=5aef43f35c454216fbb2eee908c3c129","Conference review","Final","","Scopus","2-s2.0-85115112204"
"Chen H.; Zhang B.; Hou X.; Yuan L.; Jia Y.","Chen, Haiyan (57144850100); Zhang, Bing (57270201200); Hou, Xiaye (57219574405); Yuan, Ligang (57191499045); Jia, Yizhen (57299981900)","57144850100; 57270201200; 57219574405; 57191499045; 57299981900","Evaluation of Sector Operation Complexity Based on Deep Metric Learning","2021","IEEE Access","","","","","","","1","10.1109/ACCESS.2021.3119624","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197711217&doi=10.1109%2fACCESS.2021.3119624&partnerID=40&md5=1a6684f312145b41d99a50e23e21d243","Article","Article in press","","Scopus","2-s2.0-85197711217"
"Alkhamisi A.; Katib I.; Buhari S.M.","Alkhamisi, Abrar (57191346096); Katib, Iyad (26534538800); Buhari, Seyed M (55746439900)","57191346096; 26534538800; 55746439900","Blockchain -Assisted Hybrid Deep Learning-Based Secure Mechanism for Software Defined Networks","2023","Digest of Technical Papers - IEEE International Conference on Consumer Electronics","2023-January","","","","","","6","10.1109/ICCE56470.2023.10043401","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149114542&doi=10.1109%2fICCE56470.2023.10043401&partnerID=40&md5=eb25b2d5ee12e4bcc28a815a14b45641","Conference paper","Final","","Scopus","2-s2.0-85149114542"
"Bhumichai D.; Benton R.G.","Bhumichai, Dhanasak (58265709300); Benton, Ryan G. (15055341200)","58265709300; 15055341200","The Evaluation of Extracted Features for Detecting Eclipse Attacks on Ethereum Network Layers","2024","Proceedings - 2024 IEEE International Conference on Big Data, BigData 2024","","","","5551","5560","9","0","10.1109/BigData62323.2024.10825144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218049335&doi=10.1109%2fBigData62323.2024.10825144&partnerID=40&md5=eb48b4e1d2f5d8a26fbf8644ec0f1fce","Conference paper","Final","","Scopus","2-s2.0-85218049335"
"Zorarpaci E.","Zorarpaci, Ezgi (57189726492)","57189726492","A fast intrusion detection system based on swift wrapper feature selection and speedy ensemble classifier","2024","Engineering Applications of Artificial Intelligence","133","","108162","","","","8","10.1016/j.engappai.2024.108162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187200126&doi=10.1016%2fj.engappai.2024.108162&partnerID=40&md5=99a5367e0a176b7d5edc478d09871b98","Article","Final","","Scopus","2-s2.0-85187200126"
"Mekala S.; Dasari K.; Katta D.","Mekala, Srinivas (57219121386); Dasari, Kishorebabu (57225275803); Katta, Divya (59445705500)","57219121386; 57225275803; 59445705500","DNS DDoS Amplification Attack Detection Using Multi-Layer Perceptron Classification Algorithm","2024","2024 IEEE 3rd World Conference on Applied Intelligence and Computing, AIC 2024","","","","1355","1360","5","0","10.1109/AIC61668.2024.10730978","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210256429&doi=10.1109%2fAIC61668.2024.10730978&partnerID=40&md5=0b915992c801add30cae026e6ba18d2b","Conference paper","Final","","Scopus","2-s2.0-85210256429"
