"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Abstract","Open Access"
"Han H.; Bai X.; Li P.","Han, Hu (36742739100); Bai, Xuxu (57203926808); Li, Ping (57193136585)","36742739100; 57203926808; 57193136585","Augmented sentiment representation by learning context information","2019","15","10.1007/s00521-018-3698-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053637499&doi=10.1007%2fs00521-018-3698-4&partnerID=40&md5=e8e17f57fb6080d5ea26b93e55d9b5c1","Identifying sentiment polarity of a document is a building block of sentiment analysis and natural language processing tasks, and it aims to automate the prediction of a user’s sentiment orientation in the document about a product, on assumption that the document expresses a sentiment on a single product. In general, supervised machine learning models like support vector machine and recently fast-growing deep neural networks method have been extensively used as a sentiment learning approach. Although some neural network-based models learn text features without feature engineering, most of them only focus on extracting semantic representations from single words and rarely consider the contexts attributed to the correlation between words and sentences. In this paper, we propose a novel neural network model to capture the context information from texts. Our model builds a hybrid neural network model using convolutional neural networks and long short-term memory for word context extraction and document representation, respectively. On this basis, user’s and product’s information can be incorporated into the model. The experimental results show the competitive performance of our model, compared to all state-of-the-art methods. © 2018, The Natural Computing Applications Forum.",""
"Leppäkoski H.; Rivero-Rodriguez A.; Rautalin S.; Munõz Martínez D.; Käppi J.; Ali-Loÿtty S.; Piché R.","Leppäkoski, Helena (15623495300); Rivero-Rodriguez, Alejandro (57223961425); Rautalin, Sakari (57191055393); Munõz Martínez, David (57195611996); Käppi, Jani (13410410000); Ali-Loÿtty, Simo (16229344100); Piché, Robert (6701350428)","15623495300; 57223961425; 57191055393; 57195611996; 13410410000; 16229344100; 6701350428","Semantic Labeling of User Location Context Based on Phone Usage Features","2017","2","10.1155/2017/3876906","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029234149&doi=10.1155%2f2017%2f3876906&partnerID=40&md5=b3f6d9eff40a9bc8a4eb4c559613e236","In mobile phones, the awareness of the user's context allows services better tailored to the user's needs. We propose a machine learning based method for semantic labeling that utilizes phone usage features to detect the user's home, work, and other visited places. For place detection, we compare seven different classification methods. We organize the phone usage data based on periods of uninterrupted time that the user has been in a certain place. We consider three approaches to represent this data: Visits, places, and cumulative samples. Our main contribution is semantic place labeling using a small set of privacy-preserving features and novel data representations suitable for resource constrained mobile devices. The contributions include (1) introduction of novel data representations including accumulation and averaging of the usage, (2) analysis of the effect of the data accumulation time on the accuracy of the place classification, (3) analysis of the confidence on the classification outcome, and (4) identification of the most relevant features obtained through feature selection methods. With a small set of privacy-preserving features and our data representations, we detect the user's home and work with probability of 90% or better, and in 3-class problem the overall classification accuracy was 89% or better. © 2017 Helena Leppäkoski et al.","All Open Access; Hybrid Gold Open Access"
"Asfand-E-Yar M.; Hashir Q.; Tanvir S.H.; Khalil W.","Asfand-E-Yar, Muhammad (35572722500); Hashir, Qadeer (58222897000); Tanvir, Syed Hassan (57193630004); Khalil, Wajeeha (15622889900)","35572722500; 58222897000; 57193630004; 15622889900","Classifying Misinformation of User Credibility in Social Media Using Supervised Learning","2023","3","10.32604/cmc.2023.034741","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156221255&doi=10.32604%2fcmc.2023.034741&partnerID=40&md5=cd0ab04a82d9145e3415932ff796ecf4","The growth of the internet and technology has had a significant effect on social interactions. False information has become an important research topic due to the massive amount of misinformed content on social networks. It is very easy for any user to spread misinformation through the media. Therefore, misinformation is a problem for professionals, organizers, and societies. Hence, it is essential to observe the credibility and validity of the News articles being shared on social media. The core challenge is to distinguish the difference between accurate and false information. Recent studies focus on News article content, such as News titles and descriptions, which has limited their achievements. However, there are two ordinarily agreed-upon features of misinformation: first, the title and text of an article, and second, the user engagement. In the case of the News context, we extracted different user engagements with articles, for example, tweets, i.e., read-only, user retweets, likes, and shares. We calculate user credibility and combine it with article content with the user’s context. After combining both features, we used three Natural language processing (NLP) feature extraction techniques, i.e., Term Frequency-Inverse Document Frequency (TF-IDF), Count-Vectorizer (CV), and Hashing-Vectorizer (HV). Then, we applied different machine learning classifiers to classify misinformation as real or fake. Therefore, we used a Support Vector Machine (SVM), Naive Byes (NB), Random Forest (RF), Decision Tree (DT), Gradient Boosting (GB), and K-Nearest Neighbors (KNN). The proposed method has been tested on a real-world dataset, i.e., “fakenewsnet”. We refine the fakenewsnet dataset repository according to our required features. The dataset contains 23000+ articles with millions of user engagements. The highest accuracy score is 93.4%. The proposed model achieves its highest accuracy using count vector features and a random forest classifier. Our discoveries confirmed that the proposed classifier would effectively classify misinformation in social networks. © 2023 Tech Science Press. All rights reserved.","All Open Access; Gold Open Access"
"Liu H.; Cocea M.; Mohasseb A.; Bader M.","Liu, Han (44361194700); Cocea, Mihaela (23090077000); Mohasseb, Alaa (56204528600); Bader, Mohamed (58253539200)","44361194700; 23090077000; 56204528600; 58253539200","Transformation of discriminative single-task classification into generative multi-task classification in machine learning context","2017","12","10.1109/ICACI.2017.7974487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027435628&doi=10.1109%2fICACI.2017.7974487&partnerID=40&md5=66298e5dfa69163af0db9fe30e305ecc","Classification is one of the most popular tasks of machine learning, which has been involved in broad applications in practice, such as decision making, sentiment analysis and pattern recognition. It involves the assignment of a class/label to an instance and is based on the assumption that each instance can only belong to one class. This assumption does not hold, especially for indexing problems (when an item, such as a movie, can belong to more than one category) or for complex items that reflect more than one aspect, e.g. a product review outlining advantages and disadvantages may be at the same time positive and negative. To address this problem, multi-label classification has been increasingly used in recent years, by transforming the data to allow an instance to have more than one label; the nature of learning, however, is the same as traditional learning, i.e. learning to discriminate one class from other classes and the output of a classifier is still single (although the output may contain a set of labels). In this paper we propose a fundamentally different type of classification in which the membership of an instance to all classes(/labels) is judged by a multiple-input-multiple-output classifier through generative multi-task learning. An experimental study is conducted on five UCI data sets to show empirically that an instance can belong to more than one class, by using the theory of fuzzy logic and checking the extent to which an instance belongs to each single class, i.e. the fuzzy membership degree. The paper positions new research directions on multi-task classification in the context of both supervised learning and semi-supervised learning. © 2017 IEEE.","All Open Access; Green Open Access"
"Concone F.; Gaglio S.; Lo Re G.; Morana M.","Concone, Federico (57196715861); Gaglio, Salvatore (7003479605); Lo Re, Giuseppe (56604754300); Morana, Marco (33368212700)","57196715861; 7003479605; 56604754300; 33368212700","Smartphone data analysis for human activity recognition","2017","22","10.1007/978-3-319-70169-1_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033708381&doi=10.1007%2f978-3-319-70169-1_5&partnerID=40&md5=0729cb1e203076011a93f769b88c00eb","In recent years, the percentage of the population owning a smartphone has increased significantly. These devices provide the user with more and more functions, so that anyone is encouraged to carry one during the day, implicitly producing that can be analysed to infer knowledge of the user’s context. In this work we present a novel framework for Human Activity Recognition (HAR) using smartphone data captured by means of embedded triaxial accelerometer and gyroscope sensors. Some statistics over the captured sensor data are computed to model each activity, then real-time classification is performed by means of an efficient supervised learning technique. The system we propose also adopts a participatory sensing paradigm where user’s feedbacks on recognised activities are exploited to update the inner models of the system. Experimental results show the effectiveness of our solution as compared to other state-of-the-art techniques. © 2017, Springer International Publishing AG.",""
"Kirar J.S.; Verma A.","Kirar, Jyoti Singh (57189047206); Verma, Ankita (57193935013)","57189047206; 57193935013","Spectral Graph Theory-Based Spatio-spectral Filters for Motor Imagery Brain–Computer Interface","2021","0","10.1007/978-981-15-4992-2_24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088566199&doi=10.1007%2f978-981-15-4992-2_24&partnerID=40&md5=e87b5cf516a21aeaee7b6afdca1dd460","Motor imagery brain–computer interfaces are one of the widely adopted techniques for imparting basic communication capability to motor disabled patients. The preciseness of a motor imagery BCI task classification is highly dependent on identifying the subject-specific relevant subset of frequency filters. This article proposes a novel approach that utilizes graph theory-based unsupervised feature selection method to determine a reduced set of non-redundant and relevant frequency bands. The empirical analysis of the proposed method is conducted on publicly available datasets, and the obtained results show improvement in classification performance. Further, the performed Friedman statistical test also establishes that the proposed approach surpasses the baseline techniques in classification accuracy. © 2021, The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.",""
"Fredriksson T.; Bosch J.; Olsson H.H.","Fredriksson, Teodor (57219224944); Bosch, Jan (56675290800); Olsson, Helena Holmstrm (24335916300)","57219224944; 56675290800; 24335916300","Machine learning models for automatic labeling: A systematic literature review","2020","11","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091748735&partnerID=40&md5=4714b88c3cf8e5e774867b4dacc9ce6e","Automatic labeling is a type of classification problem. Classification has been studied with the help of statistical methods for a long time. With the explosion of new better computer processing units (CPUs) and graphical processing units (GPUs) the interest in machine learning has grown exponentially and we can use both statistical learning algorithms as well as deep neural networks (DNNs) to solve the classification tasks. Classification is a supervised machine learning problem and there exists a large amount of methodology for performing such task. However, it is very rare in industrial applications that data is fully labeled which is why we need good methodology to obtain error-free labels. The purpose of this paper is to examine the current literature on how to perform labeling using ML, we will compare these models in terms of popularity and on what datatypes they are used on. We performed a systematic literature review of empirical studies for machine learning for labeling. We identified 43 primary studies relevant to our search. From this we were able to determine the most common machine learning models for labeling. Lack of unlabeled instances is a major problem for industry as supervised learning is the most widely used. Obtaining labels is costly in terms of labor and financial costs. Based on our findings in this review we present alternate ways for labeling data for use in supervised learning tasks. Copyright © 2020 by SCITEPRESS – Science and Technology Publications, Lda. All rights reserved.",""
"Li F.; Huang Z.; Zhou L.; Peng H.; Chu Y.","Li, Feng (57094324300); Huang, Zetao (58970535500); Zhou, Lu (57224205484); Peng, Haixia (57206259346); Chu, Yimin (56673381800)","57094324300; 58970535500; 57224205484; 57206259346; 56673381800","Semi-supervised spatial-temporal calibration and semantic refinement network for video polyp segmentation","2025","0","10.1016/j.bspc.2024.107127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208763524&doi=10.1016%2fj.bspc.2024.107127&partnerID=40&md5=b5c19059f7f2dd6b4169b23128b604a8","Automated video polyp segmentation (VPS) was of vitality for the early prevention and diagnosis of colorectal cancer (CRC). However, existing deep learning-based automatic polyp segmentation methods mainly focused on independent static images and struggled to perform well due to neglecting spatial–temporal relationships among successive video frames, while requiring massive frame-by-frame annotations. To better alleviate these challenges, we proposed a novel semi-supervised spatial–temporal calibration and semantic refinement network (STCSR-Net) dedicated to VPS, which simultaneously considered both the inter-frame temporal consistency in video clips and intra-frame semantic-spatial information. It was composed of a segmentation pathway and a propagation pathway by use of a co-training scheme for supervising the predictions on un-annotated images in a semi-supervised learning fashion. Specifically, we proposed an adaptive sequence calibration (ASC) block in segmentation pathway and a dynamic transmission calibration (DTC) block in propagation pathway to fully take advantage of valuable temporal cues and maintain the prediction temporally consistent among consecutive frames. Meanwhile, in these two branches, we introduced residual block (RB) to suppress irrelevant noisy information and highlight rich local boundary details of polyp lesions, while constructed multi-scale context extraction (MCE) module to enhance multi-scale high-level semantic feature expression. On that basis, we designed progressive adaptive context fusion (PACF) module to gradually aggregate multi-level features under the guidance of reinforced high-level semantic information for eliminating semantic gaps among them and promoting the discrimination capacity of features for targeting polyp objects. Through synergistic combination of RB, MCE and PACF modules, semantic-spatial correlations on polyp lesions within each frame could be established. Coupled with the context-free loss, our model merged feature representations of neighboring frames to diminish the dependency on varying contexts within consecutive frames and strengthen its robustness. Extensive experiments substantiated that our model with 100% annotation ratio achieved state-of-the-art performance on challenging datasets. Even trained under 50% annotation ratio, our model exceled significantly existing state-of-the-art image-based and video-based polyp segmentation models on the newly-built local TRPolyp dataset by at least 1.3% and 0.9% enhancements in both mDice and mIoU, whilst exhibited comparable performance to top rivals attained through using fully supervised approach on publicly available CVC-612, CVC-300 and ASU-Mayo-Clinic benchmarks. Notably, our model showcased exceptionally well in videos containing complex scenarios like motion blur and occlusion. Beyond that, it also harvested approximately 0.794 mDice and 0.707 mIoU at an inference of 0.036 s per frame in endoscopist-machine competition, which outperformed junior and senior endoscopists as well as almost matched with those of expert ones. The strong capability of the proposed STCSR-Net held promise in improving quality of VPS, accentuating model's adaptability and potential in real-world clinical scenarios. © 2024 Elsevier Ltd",""
"Islam M.N.; Sulaiman N.; Rashid M.; Bari B.S.; Hasan M.J.; Mustafa M.; Jadin M.S.","Islam, Md Nahidul (57221115971); Sulaiman, Norizam (24734168300); Rashid, Mamunur (57217706501); Bari, Bifta Sama (57207999497); Hasan, Md Jahid (57216313085); Mustafa, Mahfuzah (36069366700); Jadin, Mohd Shawal (24733653900)","57221115971; 24734168300; 57217706501; 57207999497; 57216313085; 36069366700; 24733653900","Empirical mode decomposition coupled with fast fourier transform based feature extraction method for motor imagery tasks classification","2020","8","10.1109/ICSET51301.2020.9265370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098290199&doi=10.1109%2fICSET51301.2020.9265370&partnerID=40&md5=ecfdbf285867fd5eeb3314780582992d","Brain-Computer Interfaces (BCI) offers a robust solution to the people with disabilities and allows for creative connectivity between the user's intention and supporting tools. Different signals from the human brain, including the motor imagery, steady-state visual evoked potential, error-related potential (ErrP), motion-related potentials and P300 have been employed to design a competent BCI system. Motor imagery is commonly seen in almost every BCI system among these neural signals. This article has implemented feature extraction and feature selection techniques to classify the Electrocorticography (ECoG) motor imaging signal. The empirical mode decomposition (EMD) coupled fast Fourier transform (FFT) has been utilized as the feature extraction and recursive feature elimination (RFE) has been utilised to select the features. Finally, the extracted features have been classified using K-nearest neighbor, support vector machine and linear discriminant analysis. Two classes ECoG data from dataset I (BCI competition III) have been considered to validate the proposed method. In contrast with other state of the art techniques that employed the same dataset, the presented feature extraction and selection method significantly improve the classification accuracy (maximum achieved accuracy was 95.89% with SVM). © 2020 IEEE",""
"Lin R.; Dong C.; Zhou P.; Ma P.; Ma S.; Chen X.; Liu H.","Lin, Ruijing (57455268700); Dong, Chaoyi (35301806000); Zhou, Peng (57220859154); Ma, Pengfei (57455268600); Ma, Shuang (57219132638); Chen, Xiaoyan (57192468936); Liu, Huanzi (57845650400)","57455268700; 35301806000; 57220859154; 57455268600; 57219132638; 57192468936; 57845650400","Motor imagery EEG task recognition using a nonlinear Granger causality feature extraction and an improved Salp swarm feature selection","2024","6","10.1016/j.bspc.2023.105626","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174677591&doi=10.1016%2fj.bspc.2023.105626&partnerID=40&md5=ae1545540e694772dff960cbfb111c88","In the study of motor imagery (MI) brain-computer interfaces (BCIs), how to improve task classification accuracy has been always one of major challenges in the applications of MI-BCIs. As a type of crucial temporal and spatial feature, nonlinear Granger Causality (NGC) analysis was applied to feature extraction of MI-electroencephalogram (EEG) signals because the constructed brain network features can reflect the causal relationship between different channels in various brain regions. However, the MI-BCI task recognition often suffer from the information redundancy of NGC features, and these redundant features will increase the complexity of the machine learning models and accordingly reduce the prediction accuracy of the classification algorithms. To address this problem, this paper proposes a step-by-step tent chaos simulated annealing salp swarm feature selection (STCSA_SaSFS) algorithm to select an optimal set of features in a wrapper feature selection model. Then, the effectiveness of this feature selection method is verified using a support vector machine (SVM) classifier. Through the study of task related MI-BCI EEG data from ten subjects, the experiments showed that the highest classification accuracy of NGC feature extraction plus STCSA_SaSFS reached 97.19%, and the average classification accuracy was 89.57%. This average classification accuracy was 20.07% higher than that of NGC feature extraction without any feature selection, and it is also 2.96% higher than that of NGC feature extraction plus a traditional SaSFS algorithm. The effectiveness of STCSA_SaSFS was also compared with that of other smart swarm optimization algorithms, such as the sparrow search feature selection algorithm (SpSFS). STCSA_SaSFS outperforms SpSFS with an average classification accuracy of 8.07%. The algorithm was validated using a public dataset validation consisting of 10 subjects, which ultimately showed that the feature selection method proposed in this paper (STSA_SaSAFS) has a large advantage in the classification performance of motor imagery brain-computer interface tasks. © 2023 The Author(s)","All Open Access; Hybrid Gold Open Access"
