arquivo,Encontrados dos Selecionados da revisão,Encontrados do Total da revisão,Total da pesquisa,Selecionados/Total_revisao,Selecionados/Total_busca,Revisao/Total_busca,F1 Score
,,,,,,,
0.csv,1.0,1.0,2.0,0.8333,50.0,50.0,0.5
1.csv,1.0,2.0,3.0,0.8333,33.3333,66.6667,0.4444444444444444
10.csv,1.0,1.0,2.0,0.8333,50.0,50.0,0.5
11.csv,2.0,3.0,35.0,1.6667,5.7143,8.5714,0.06857142857142857
12.csv,0.0,1.0,127.0,0.0,0.0,0.7874,0.0
13.csv,1.0,1.0,3.0,0.8333,33.3333,33.3333,0.3333333333333333
14.csv,1.0,1.0,1.0,0.8333,100.0,100.0,1.0
15.csv,1.0,1.0,2.0,0.8333,50.0,50.0,0.5
16.csv,1.0,2.0,3.0,0.8333,33.3333,66.6667,0.4444444444444444
17.csv,2.0,10.0,1203.0,1.6667,0.1663,0.8313,0.002770850651149903
18.csv,1.0,2.0,4.0,0.8333,25.0,50.0,0.3333333333333333
19.csv,2.0,2.0,2.0,1.6667,100.0,100.0,1.0
2.csv,0.0,1.0,192.0,0.0,0.0,0.5208,0.0
20.csv,1.0,1.0,38.0,0.8333,2.6316,2.6316,0.02631578947368421
21.csv,0.0,0.0,1.0,0.0,0.0,0.0,
22.csv,1.0,4.0,199.0,0.8333,0.5025,2.0101,0.008040201005025125
23.csv,1.0,1.0,1.0,0.8333,100.0,100.0,1.0
24.csv,3.0,3.0,17.0,2.5,17.6471,17.6471,0.17647058823529413
25.csv,1.0,1.0,2.0,0.8333,50.0,50.0,0.5
26.csv,1.0,2.0,2.0,0.8333,50.0,100.0,0.6666666666666666
27.csv,1.0,1.0,20.0,0.8333,5.0,5.0,0.05000000000000001
28.csv,1.0,1.0,1.0,0.8333,100.0,100.0,1.0
29.csv,3.0,3.0,5.0,2.5,60.0,60.0,0.6
30.csv,3.0,3.0,5.0,2.5,60.0,60.0,0.6
31.csv,1.0,1.0,2.0,0.8333,50.0,50.0,0.5
32.csv,1.0,2.0,17.0,0.8333,5.8824,11.7647,0.07843137254901962
33.csv,0.0,0.0,1.0,0.0,0.0,0.0,
34.csv,1.0,1.0,11.0,0.8333,9.0909,9.0909,0.09090909090909091
35.csv,2.0,2.0,3.0,1.6667,66.6667,66.6667,0.6666666666666666
36.csv,1.0,1.0,9.0,0.8333,11.1111,11.1111,0.1111111111111111
37.csv,1.0,1.0,21.0,0.8333,4.7619,4.7619,0.047619047619047616
38.csv,0.0,1.0,120.0,0.0,0.0,0.8333,0.0
39.csv,1.0,1.0,12.0,0.8333,8.3333,8.3333,0.08333333333333333
40.csv,3.0,3.0,7.0,2.5,42.8571,42.8571,0.42857142857142855
41.csv,1.0,1.0,1.0,0.8333,100.0,100.0,1.0
42.csv,1.0,2.0,11.0,0.8333,9.0909,18.1818,0.12121212121212123
43.csv,1.0,7.0,174.0,0.8333,0.5747,4.023,0.010057471264367816
44.csv,1.0,1.0,15.0,0.8333,6.6667,6.6667,0.06666666666666667
45.csv,4.0,4.0,19.0,3.3333,21.0526,21.0526,0.21052631578947367
5.csv,1.0,1.0,281.0,0.8333,0.3559,0.3559,0.0035587188612099647
6.csv,0.0,0.0,1.0,0.0,0.0,0.0,
7.csv,1.0,16.0,1499.0,0.8333,0.0667,1.0674,0.0012557391201977789
8.csv,1.0,1.0,1.0,0.8333,100.0,100.0,1.0
9.csv,1.0,1.0,1.0,0.8333,100.0,100.0,1.0
