"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Mehmood I.; Shahid S.; Hussain H.; Khan I.; Ahmad S.; Rahman S.; Ullah N.; Huda S.","Mehmood, Iqra (58346305900); Shahid, Sidra (58346937300); Hussain, Hameed (36069652500); Khan, Inayat (57189853778); Ahmad, Shafiq (57209916514); Rahman, Shahid (57203457556); Ullah, Najeeb (57209472966); Huda, Shamsul (25823733700)","58346305900; 58346937300; 36069652500; 57189853778; 57209916514; 57203457556; 57209472966; 25823733700","A Novel Approach to Improve Software Defect Prediction Accuracy Using Machine Learning","2023","IEEE Access","11","","","63579","63597","18","18","10.1109/ACCESS.2023.3287326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162880626&doi=10.1109%2fACCESS.2023.3287326&partnerID=40&md5=c8b658b326999fda40afab58c3b02064","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85162880626"
"Sreedevi E.; Sivakumar S.; Nayak S.R.; Kumar R.","Sreedevi, E. (49864380400); Sivakumar, S. (57197401369); Nayak, Soumya Ranjan (57188876957); Kumar, Raghvendra (57198684981)","49864380400; 57197401369; 57188876957; 57198684981","Hybrid Classifier for Software Defect Prediction by Using Filter-Based Feature Selection Techniques","2024","Lecture Notes in Networks and Systems","914 LNNS","","","527","541","14","0","10.1007/978-981-97-0573-3_42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200982803&doi=10.1007%2f978-981-97-0573-3_42&partnerID=40&md5=c02f1461a99091febf63cb8b2d262456","Conference paper","Final","","Scopus","2-s2.0-85200982803"
"Begum M.; Shuvo M.H.; Ashraf I.; Mamun A.A.; Uddin J.; Samad M.A.","Begum, Momotaz (57201057622); Shuvo, Mehedi Hasan (58571479500); Ashraf, Imran (57195478761); Mamun, Abdullah Al (57197891748); Uddin, Jia (54994936900); Samad, Md Abdus (57220375948)","57201057622; 58571479500; 57195478761; 57197891748; 54994936900; 57220375948","Software Defects Identification: Results Using Machine Learning and Explainable Artificial Intelligence Techniques","2023","IEEE Access","11","","","132750","132765","15","7","10.1109/ACCESS.2023.3329051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179009119&doi=10.1109%2fACCESS.2023.3329051&partnerID=40&md5=77195b9c1726772c77989767e5772f7b","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85179009119"
"Malhotra R.; Khan K.","Malhotra, Ruchika (15758058000); Khan, Kishwar (57219482367)","15758058000; 57219482367","A novel software defect prediction model using two-phase grey wolf optimisation for feature selection","2024","Cluster Computing","27","9","","12185","12207","22","4","10.1007/s10586-024-04599-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195380827&doi=10.1007%2fs10586-024-04599-w&partnerID=40&md5=5c01e942bb43f2d3c9615d3a9ca8fcc8","Article","Final","","Scopus","2-s2.0-85195380827"
"","","","Proceedings of the 18th International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE 2023","2023","International Conference on Evaluation of Novel Approaches to Software Engineering, ENASE - Proceedings","2023-April","","","","","740","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160555346&partnerID=40&md5=4a903463f9ae3345398425f3f9754862","Conference review","Final","","Scopus","2-s2.0-85160555346"
"Sreedevi E.; Lakshmi D.S.; Divya A.; Gangadhar P.V.S.S.; Premalatha V.","Sreedevi, E. (49864380400); Lakshmi, D. Sree (59499324200); Divya, A. (57487291500); Gangadhar, P.V.S.S. (37046926500); Premalatha, V. (57202577864)","49864380400; 59499324200; 57487291500; 37046926500; 57202577864","PERFORMANCEOF HETEROGENEOUS ENSEMBLE APPROACH WITH TRADITIONAL METHODS BASED ON SOFTWARE DEFECT DETECTION MODEL","2022","Journal of Theoretical and Applied Information Technology","100","4","","980","989","9","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126273818&partnerID=40&md5=5b95774ea65d4854479202fc3254c0be","Article","Final","","Scopus","2-s2.0-85126273818"
"Ali M.; Mazhar T.; Shahzad T.; Ghadi Y.Y.; Mohsin S.M.; Akber S.M.A.; Ali M.","Ali, Misbah (58832070000); Mazhar, Tehseen (57219034600); Shahzad, Tariq (57211482169); Ghadi, Yazeed Yasin (55797735700); Mohsin, Syed Muhammad (57221948140); Akber, Syed Muhammad Abrar (57202291781); Ali, Mohammed (59372037500)","58832070000; 57219034600; 57211482169; 55797735700; 57221948140; 57202291781; 59372037500","Analysis of Feature Selection Methods in Software Defect Prediction Models","2023","IEEE Access","11","","","145954","145974","20","12","10.1109/ACCESS.2023.3343249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180331877&doi=10.1109%2fACCESS.2023.3343249&partnerID=40&md5=cc5c43cae84702fc4202a11ea82e6591","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85180331877"
"Jiang S.; Ouyang T.; Wang W.; Shang Y.","Jiang, Siyu (57197765310); Ouyang, Teng (59175464800); Wang, Wenhong (59521166800); Shang, Yunpeng (59163066700)","57197765310; 59175464800; 59521166800; 59163066700","Candidate project selection method combined with feature filtering in cross project defect prediction","2024","Proceedings of SPIE - The International Society for Optical Engineering","13180","","131801X","","","","0","10.1117/12.3033715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215501079&doi=10.1117%2f12.3033715&partnerID=40&md5=d113090c35ebb7a6d1f226def2bea714","Conference paper","Final","","Scopus","2-s2.0-85215501079"
"Jahangir M.A.; Tajwar M.A.; Marma W.; Islam M.S.","Jahangir, Md. Ariyan (58171707500); Tajwar, Md. Abtahi (58171107900); Marma, Waythin (58171707600); Islam, Md. Siyamul (57226706595)","58171707500; 58171107900; 58171707600; 57226706595","Intelligent Software Bug Prediction: An Empirical Approach","2023","International Conference on Robotics, Electrical and Signal Processing Techniques","2023-January","","","143","148","5","0","10.1109/ICREST57604.2023.10070026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151673667&doi=10.1109%2fICREST57604.2023.10070026&partnerID=40&md5=c2b5dfbc290dff33de7bbfb5a3673d2e","Conference paper","Final","","Scopus","2-s2.0-85151673667"
"Malhotra R.; Chawla S.; Sharma A.","Malhotra, Ruchika (15758058000); Chawla, Sonali (58078843600); Sharma, Anjali (56429810800)","15758058000; 58078843600; 56429810800","An Artificial Neural Network Model based on Binary Particle Swarm Optimization for enhancing the efficiency of Software Defect Prediction","2023","ACM International Conference Proceeding Series","","","","92","100","8","0","10.1145/3584871.3584885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165979361&doi=10.1145%2f3584871.3584885&partnerID=40&md5=ff90f36fa891568939828cc143582972","Conference paper","Final","","Scopus","2-s2.0-85165979361"
