id,arquivo,modelo,prompt_name,Encontrados dos Selecionados da revisão,Encontrados do Total da revisão,Total da pesquisa,Selecionados/Total_revisao,Selecionados/Total_busca,Revisao/Total_busca,F1 Score,article,answer,execution_time
0,0.csv,gemma3:12b,prompt0,1.0,1.0,2.0,0.8333,50.0,50.0,0.5,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR ""SPL"" OR ""feature-oriented programming"") AND (""non-functional properties"" OR ""performance"" OR ""footprint"" OR ""energy consumption"") AND (""optimization"" OR ""tailoring"" OR ""customization"") AND (""measurement"" OR ""evaluation"" OR ""assessment"")",74.85
1,1.csv,gemma3:12b,prompt0,1.0,2.0,3.0,0.8333,33.3333,66.6667,0.4444444444444444,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR SPL OR ""product line software"") AND (""software product"" OR ""derived software"") AND (""non-functional properties"" OR ""quality attributes"" OR performance OR security OR reliability OR usability) AND (measurement OR ""property evaluation"" OR assessment OR analysis) AND (configuration OR ""product derivation"")",17.79
10,10.csv,gemma3:12b,prompt2,1.0,1.0,2.0,0.8333,50.0,50.0,0.5,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR SPL OR ""software product lines"") AND (""non-functional properties"" OR ""quality attributes"" OR performance OR footprint OR energy OR efficiency OR ""system characteristics"") AND (optimization OR ""performance optimization"" OR ""footprint optimization"" OR ""energy optimization"" OR ""efficiency optimization"") AND (""variant generation"" OR ""variant derivation"" OR ""product derivation"" OR configuration OR customization OR tailoring) AND (""feature orientation"" OR ""conditional compilation"") AND (""case study"" OR ""industrial application"" OR implementation) AND (""system engineering"" OR ""software engineering"")",32.71
11,11.csv,gemma3:12b,prompt2,2.0,3.0,35.0,1.6667,5.7143,8.5714,0.0685714285714285,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"" OR ""software product lines"") AND (""product derivation"" OR ""product configuration"" OR ""configuration process"") AND (nonfunctional OR ""non-functional"" OR ""quality attribute"" OR performance OR reliability OR security OR maintainability OR usability) AND (""software module"" OR ""code unit"" OR ""software component"") AND (measurement OR ""measuring"" OR ""assessment"" OR ""evaluation"" OR ""analysis"") AND (""feature"" OR ""features"") AND (optimization OR ""optimized"")",29.3
12,12.csv,gemma3:12b,prompt2,0.0,1.0,127.0,0.0,0.0,0.7874,0.0,Machine learning techniques to predict software defect,"(""software defect"" OR ""software faults"" OR ""bug detection"" OR ""fault prediction"" OR ""error prediction"" OR ""bug prediction"") AND (""machine learning"" OR ""ML"" OR ""data mining"" OR ""predictive modeling"" OR ""statistical learning"") AND (""prediction"" OR ""estimation"" OR ""assessment"") AND (""code metrics"" OR ""source code analysis"" OR ""code analysis"" OR ""software metrics"") AND (""data mining"" OR ""pattern recognition"") AND (""classification"" OR ""pattern classification"") AND (""expert system"" OR ""rule-based system"") AND (""J48"" OR ""CART"" OR ""PNN"") AND (""software development"" OR ""software engineering"")
",39.15
13,13.csv,gemma3:12b,prompt2,1.0,1.0,3.0,0.8333,33.3333,33.3333,0.3333333333333333,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"" OR ""automated learning"" OR ""data mining"") AND (""product line"" OR ""product lines"" OR ""product-line"" OR ""software product line"" OR ""platform-based development"" OR ""variant management"" OR ""configuration management"") AND (""constraint*"" OR ""restriction*"" OR ""rule*"" OR ""specification*"" OR ""validation"" OR ""verification"") AND (""inference"" OR ""discovery"" OR ""learning"" OR ""deduction"" OR ""extraction"") AND (""configuration"" OR ""variants"" OR ""generation"" OR ""design"" OR ""development"") AND (""oracle"" OR ""assessment"" OR ""evaluation"" OR ""testing"") AND (""software"" OR ""system"" OR ""application"")",39.17
14,14.csv,gemma3:12b,prompt2,1.0,1.0,1.0,0.8333,100.0,100.0,1.0,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable system*"" OR ""product configurator*"" OR ""variant generation"" OR ""system configuration"") AND (""performance prediction"" OR ""performance modeling"" OR ""system evaluation"" OR ""simulation"" OR ""system analysis"") AND (""sampling strategy"" OR ""sample selection"" OR ""experimental design"" OR ""optimization"" OR ""heuristic*"" OR ""combinatorial testing"") AND (""feature*"" OR ""attribute*"" OR ""parameter*"" OR ""property*"")",24.35
15,15.csv,mistral-nemo:latest,prompt0,1.0,1.0,2.0,0.8333,50.0,50.0,0.5,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR ""SPL"") AND (""non-functional properties"" OR ""qualitative specification"" OR ""quantitative measurement"") AND optimization",18.28
16,16.csv,mistral-nemo:latest,prompt0,1.0,2.0,3.0,0.8333,33.3333,66.6667,0.4444444444444444,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"") AND (""non-functional property"" OR ""quality attribute"" OR ""QoS"") AND (measurement OR evaluation)",5.05
17,17.csv,mistral-nemo:latest,prompt0,2.0,10.0,1203.0,1.6667,0.1663,0.8313,0.0027708506511499,Machine learning techniques to predict software defect,"(""software defect"" OR ""defect prediction"") AND (""machine learning technique"" OR ""ML algorithm"") AND (accuracy OR sensitivity)",4.87
18,18.csv,mistral-nemo:latest,prompt0,1.0,2.0,4.0,0.8333,25.0,50.0,0.3333333333333333,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"") AND (""product line"" OR ""product lines"") AND constraints",3.99
19,19.csv,mistral-nemo:latest,prompt0,2.0,2.0,2.0,1.6667,100.0,100.0,1.0,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable system"" OR ""individual variant"") AND (""performance prediction"" OR ""measurement effort"") AND (sampling strategy OR heuristic)",5.33
2,2.csv,gemma3:12b,prompt0,0.0,1.0,192.0,0.0,0.0,0.5208,0.0,Machine learning techniques to predict software defect,"(""software defect"" OR ""software fault"" OR ""code defect"" OR ""bug"" OR ""error"") AND (""machine learning"" OR ""data mining"" OR ""predictive modeling"" OR ""classification"") AND (""prediction"" OR ""forecast"" OR ""assessment"") AND (""accuracy"" OR ""sensitivity"" OR ""specificity"" OR ""performance"") AND (""source code"" OR ""code metrics"" OR ""project data"")",23.21
20,20.csv,mistral-nemo:latest,prompt1,1.0,1.0,38.0,0.8333,2.6316,2.6316,0.0263157894736842,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR ""SPL"") AND (""non-functional properties"" OR ""performance"" OR ""footprint"" OR ""energy efficiency"") AND optimization",5.73
21,21.csv,mistral-nemo:latest,prompt1,0.0,0.0,1.0,0.0,0.0,0.0,,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"") AND (""non-functional property"" OR ""performance"" OR ""binary size"") AND (""configuration process"" OR ""product derivation"")",5.31
22,22.csv,mistral-nemo:latest,prompt1,1.0,4.0,199.0,0.8333,0.5025,2.0101,0.0080402010050251,Machine learning techniques to predict software defect,"(""software defect"" OR ""code bug"") AND (""machine learning"" OR ""ML"" OR ""artificial intelligence"") AND (prediction OR classification)",4.79
23,23.csv,mistral-nemo:latest,prompt1,1.0,1.0,1.0,0.8333,100.0,100.0,1.0,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"") AND (""product line constraint"" OR ""product constraints"") AND (variability OR configuration)",4.42
24,24.csv,mistral-nemo:latest,prompt1,3.0,3.0,17.0,2.5,17.6471,17.6471,0.1764705882352941,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable systems"" OR ""software product lines"") AND (""performance prediction"" OR ""system performance"") AND (""sampling strategies"" OR ""measurement effort"")",5.18
25,25.csv,mistral-nemo:latest,prompt2,1.0,1.0,2.0,0.8333,50.0,50.0,0.5,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR ""SPL"") AND (""non-functional property"" OR ""NFP"") AND (optimization OR improvement) AND (""feature-oriented programming"" OR ""conditional compilation"" OR ""product derivation"")",7.83
26,26.csv,mistral-nemo:latest,prompt2,1.0,2.0,2.0,0.8333,50.0,100.0,0.6666666666666666,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"") AND (""product derivation"" OR ""configuration process"") AND (non-functional OR functional) AND (""code units"" OR ""software modules"")",5.6
27,27.csv,mistral-nemo:latest,prompt2,1.0,1.0,20.0,0.8333,5.0,5.0,0.05,Machine learning techniques to predict software defect,"(""software defect"" OR ""defect prediction"") AND (""machine learning"" OR ""ML algorithm"" OR ""classification technique"")",4.22
28,28.csv,mistral-nemo:latest,prompt2,1.0,1.0,1.0,0.8333,100.0,100.0,1.0,Using machine learning to infer constraints for product lines,"(""product line"" OR ""product lines"") AND (""machine learning"" OR ""ML"") AND (constraints OR restrictions) AND (""variability intensive"" OR ""high-variability"") AND (infer OR learn OR derive)",7.33
29,29.csv,mistral-nemo:latest,prompt2,3.0,3.0,5.0,2.5,60.0,60.0,0.6,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable systems"" OR ""flexible systems"") AND (""performance prediction"" OR ""performance modeling"" OR ""system variant analysis"") AND (sampling strategies OR measurement effort)",5.42
30,30.csv,llama3.1:latest,prompt0,3.0,3.0,5.0,2.5,60.0,60.0,0.6,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product lines"" OR ""SPL"") AND (""non-functional properties"" OR ""optimization goals"" OR ""performance optimization"" OR ""footprint minimization"" OR ""energy efficiency"") AND (""measurement tools"" OR ""variant derivation process"" OR ""optimal variant computation"")",9.99
31,31.csv,llama3.1:latest,prompt0,1.0,1.0,2.0,0.8333,50.0,50.0,0.5,Measuring non-functional properties in software product lines for product derivation,"(""non-functional properties"" OR ""performance optimization"") AND (""software product lines"" OR ""SPL"") AND (""configuration process"" OR ""product derivation"")",2.28
32,32.csv,llama3.1:latest,prompt0,1.0,2.0,17.0,0.8333,5.8824,11.7647,0.0784313725490196,Machine learning techniques to predict software defect,"(""software defect"" OR ""bug prediction"") AND (""machine learning"" OR ""ML"") AND (""predictive modeling"" OR ""prediction algorithm"")",2.41
33,33.csv,llama3.1:latest,prompt0,0.0,0.0,1.0,0.0,0.0,0.0,,Using machine learning to infer constraints for product lines,"(""product lines"" OR ""product-line"") AND (""machine learning"" OR ""inference"") AND (""constraints"" OR ""restriction"")",2.31
34,34.csv,llama3.1:latest,prompt0,1.0,1.0,11.0,0.8333,9.0909,9.0909,0.0909090909090909,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable systems"" OR ""variable systems"") AND (""performance prediction"" OR ""system performance estimation"") AND (""sampling strategy"" OR ""random sampling"") AND (""feature combinatorics"" OR ""combinatorial explosion"") AND (""cost efficiency"" OR ""measurement effort"")",3.96
35,35.csv,llama3.1:latest,prompt1,2.0,2.0,3.0,1.6667,66.6667,66.6667,0.6666666666666666,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""Software Product Lines"" OR ""SPL"") AND (""Non-Functional Properties"" OR ""performance optimization"" OR ""energy efficiency"" OR ""resource management"") AND (""Optimization Techniques"" OR ""Variants Derivation"" OR ""Requirements Engineering"")",3.94
36,36.csv,llama3.1:latest,prompt1,1.0,1.0,9.0,0.8333,11.1111,11.1111,0.1111111111111111,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"") AND (""non-functional property"" OR ""performance metric"" OR ""quality attribute"") AND (measurement OR evaluation OR optimization)",2.53
37,37.csv,llama3.1:latest,prompt1,1.0,1.0,21.0,0.8333,4.7619,4.7619,0.0476190476190476,Machine learning techniques to predict software defect,"(""software defect"" OR ""bug prediction"") AND (""machine learning"" OR ""algorithmic prediction"") AND (""source code analysis"" OR ""software project management"")",2.49
38,38.csv,llama3.1:latest,prompt1,0.0,1.0,120.0,0.0,0.0,0.8333,0.0,Using machine learning to infer constraints for product lines,"(""product lines"" OR ""variability intensive systems"") AND (""constraints"" OR ""machine learning"") AND (""software engineering"" OR ""configuration management"")",2.16
39,39.csv,llama3.1:latest,prompt1,1.0,1.0,12.0,0.8333,8.3333,8.3333,0.0833333333333333,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable systems"" OR ""performancemodeling"") AND (""prediction accuracy"" OR ""measurement effort"") AND (""sampling strategies"" OR ""feature selection"") AND (""cost-efficient"" OR ""resource allocation"")",2.86
40,40.csv,llama3.1:latest,prompt2,3.0,3.0,7.0,2.5,42.8571,42.8571,0.4285714285714285,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product lines"" OR ""SPL"") AND (""non-functional properties"" OR ""optimization goals"" OR ""performance optimization"" OR ""resource optimization"") AND (variant derivation OR ""product line engineering"" OR ""application scenarios"" OR case studies) 

Expanded query:
(""software product lines"" OR ""SPL variants"" OR ""feature-based systems"") AND (""non-functional requirements"" OR ""quality attributes"" OR ""efficiency metrics"" OR ""performance evaluation"") AND (""derivation process"" OR ""configuration management"" OR ""tailor-made products"" OR ""customer needs"")",8.0
41,41.csv,llama3.1:latest,prompt2,1.0,1.0,1.0,0.8333,100.0,100.0,1.0,Measuring non-functional properties in software product lines for product derivation,"(""software product lines"" OR ""product line engineering"") AND (""non-functional properties"" OR ""performance metrics"" OR ""quality attributes"") AND (""configuration process"" OR ""composition"" OR ""module combination"") AND (""reuse"" OR ""modularity"") AND (derivation OR ""product derivation"" OR ""feature selection"")",4.33
42,42.csv,llama3.1:latest,prompt2,1.0,2.0,11.0,0.8333,9.0909,18.1818,0.1212121212121212,Machine learning techniques to predict software defect,"(""software defect"" OR ""software failure"") AND (""defect prediction"" OR ""failure prediction"") AND (""machine learning"" OR ""predictive model"" OR ""classification algorithm"")",2.59
43,43.csv,llama3.1:latest,prompt2,1.0,7.0,174.0,0.8333,0.5747,4.023,0.0100574712643678,Using machine learning to infer constraints for product lines,"(""software engineering"" OR ""product lines"" OR ""variability management"") AND (""constraint inference"" OR ""machine learning application"" OR ""configuration management"") AND (oracle assessment OR ""resolution models"" OR ""cross-tree constraints"")",3.29
44,44.csv,llama3.1:latest,prompt2,1.0,1.0,15.0,0.8333,6.6667,6.6667,0.0666666666666666,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable systems"" OR ""dynamic systems"") AND (""performance prediction"" OR ""system performance"") AND (""sampling strategies"" OR ""heuristics for sampling"") AND (""feature combinatorics"" OR ""combinatorial explosion"") AND (cost-efficiency OR ""measurement effort"") 

refined search: 
( (""configurable systems"" OR ""dynamic systems"") ) AND ( (""performance prediction"" OR ""system performance"") ) AND ( (""sampling strategies"" OR ""heuristics for sampling"" OR ""sampling methods"" OR ""combinatorial optimization"") ) AND ( (""feature combinatorics"" OR ""combinatorial explosion"" OR ""complexity reduction"" OR ""abstraction techniques"") ) AND ( (""cost-efficiency"" OR ""measurement effort"" OR ""resource allocation"" OR ""sampling cost minimization"") )

final search string:
( (""configurable systems"" OR ""dynamic systems"") ) AND ( (""performance prediction"" OR ""system performance"" OR ""predictive modeling"") ) AND ( (""sampling strategies"" OR ""heuristics for sampling"" OR ""sampling methods"" OR ""combinatorial optimization"" OR ""meta-heuristics"" ) ) AND ( (""feature combinatorics"" OR ""combinatorial explosion"" OR ""complexity reduction"" OR ""abstraction techniques"" OR ""dimensionality reduction"") ) AND ( (""cost-efficiency"" OR ""measurement effort"" OR ""resource allocation"" OR ""sampling cost minimization"" OR ""experimental design"") )

Final search string:
(""configurable systems"" OR ""dynamic systems"") AND (""performance prediction"" OR ""system performance"" OR ""predictive modeling"") AND (""sampling strategies"" OR ""heuristics for sampling"" OR ""sampling methods"" OR ""combinatorial optimization"" OR ""meta-heuristics"") AND (""feature combinatorics"" OR ""combinatorial explosion"" OR ""complexity reduction"" OR ""abstraction techniques"" OR ""dimensionality reduction"") AND (""cost-efficiency"" OR ""measurement effort"" OR ""resource allocation"" OR ""sampling cost minimization"" OR ""experimental design"")",27.35
5,5.csv,gemma3:12b,prompt1,1.0,1.0,281.0,0.8333,0.3559,0.3559,0.0035587188612099,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR SPL OR ""software families"") AND (""non-functional properties"" OR ""quality attributes"" OR performance OR footprint OR energy OR maintainability OR reliability OR security) AND (optimization OR ""variant generation"" OR ""variant derivation"") AND (measurement OR evaluation OR assessment)",18.42
