arquivo,Encontrados dos Selecionados da revisão,Encontrados do Total da revisão,Total da pesquisa
acm (1).bib,3,8,929
acm (10).bib,3,8,930
acm (11).bib,0,2,112
acm (12).bib,5,10,326
acm (13).bib,3,10,890
acm (14).bib,1,1,233
acm (15).bib,1,1,40
acm (16).bib,2,5,192
acm (17).bib,1,2,109
acm (18).bib,0,1,14
acm (19).bib,1,1,1
acm (2).bib,2,5,269
acm (20).bib,1,1,55
acm (21).bib,2,10,881
acm (22).bib,1,3,304
acm (23).bib,2,7,905
acm (24).bib,1,1,3
acm (25).bib,2,3,501
acm (26).bib,0,0,1
acm (27).bib,1,2,92
acm (28).bib,2,4,130
acm (29).bib,1,1,1
acm (3).bib,5,12,879
acm (30).bib,2,4,334
acm (31).bib,0,0,26
acm (32).bib,2,4,210
acm (33).bib,5,10,857
acm (34).bib,1,1,296
acm (35).bib,2,3,98
acm (36).bib,4,13,892
acm (37).bib,3,6,266
acm (38).bib,2,3,15
acm (39).bib,1,1,142
acm (4).bib,1,1,149
acm (40).bib,1,1,74
acm (41).bib,0,0,24
acm (42).bib,3,6,587
acm (43).bib,2,10,876
acm (44).bib,1,1,10
acm (5).bib,1,1,935
acm (6).bib,2,6,932
acm (7).bib,4,8,414
acm (8).bib,1,6,930
acm (9).bib,1,1,271
acm.bib,2,3,904
