"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Fraternali F.; Bartolini A.; Cavazzoni C.; Benini L.","Fraternali, Francesco (55537323500); Bartolini, Andrea (57216775622); Cavazzoni, Carlo (6603610421); Benini, Luca (35556997000)","55537323500; 57216775622; 6603610421; 35556997000","Quantifying the Impact of Variability and Heterogeneity on the Energy Efficiency for a Next-Generation Ultra-Green Supercomputer","2018","IEEE Transactions on Parallel and Distributed Systems","29","7","","1575","1588","13","17","10.1109/TPDS.2017.2766151","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032454248&doi=10.1109%2fTPDS.2017.2766151&partnerID=40&md5=5c1e5dde636bc64a6db57fa7519a8735","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85032454248"
"Tumpold D.; Stark M.; Euler-Rolle N.; Kaltenbacher M.; Jakubek S.","Tumpold, David (26431172800); Stark, Matthias (56272909800); Euler-Rolle, Nikolaus (55875530400); Kaltenbacher, Manfred (55147399900); Jakubek, Stefan (6602288861)","26431172800; 56272909800; 55875530400; 55147399900; 6602288861","Linearizing an electrostatically driven MEMS speaker by applying pre-distortion","2015","Sensors and Actuators, A: Physical","236","","","289","298","9","13","10.1016/j.sna.2015.10.038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947421876&doi=10.1016%2fj.sna.2015.10.038&partnerID=40&md5=ca30715be1102c5b8fd60e16b6576668","Article","Final","","Scopus","2-s2.0-84947421876"
"Lian X.-L.; Zhang L.","Lian, Xiao-Li (56249957300); Zhang, Li (59157666600)","56249957300; 59157666600","Multi-Objective Optimization Algorithm for Feature Selection in Software Product Lines","2017","Ruan Jian Xue Bao/Journal of Software","28","10","","2548","2563","15","3","10.13328/j.cnki.jos.005130","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037542042&doi=10.13328%2fj.cnki.jos.005130&partnerID=40&md5=ab05925465c0b2f3acc7c0d613125c2b","Article","Final","","Scopus","2-s2.0-85037542042"
"Noorian M.; Bagheri E.; Du W.","Noorian, Mahdi (57201506010); Bagheri, Ebrahim (20435297000); Du, Weichang (7202953473)","57201506010; 20435297000; 7202953473","Quality-centric feature model configuration using goal models","2016","Proceedings of the ACM Symposium on Applied Computing","04-08-April-2016","","","1296","1299","3","5","10.1145/2851613.2851959","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975879587&doi=10.1145%2f2851613.2851959&partnerID=40&md5=7b096e776e9ba93f9a08409fe6817b69","Conference paper","Final","","Scopus","2-s2.0-84975879587"
"Ghezzi C.; Molzam Sharifloo A.","Ghezzi, Carlo (16512874900); Molzam Sharifloo, Amir (23390572700)","16512874900; 23390572700","Model-based verification of quantitative non-functional properties for software product lines","2013","Information and Software Technology","55","3","","508","524","16","54","10.1016/j.infsof.2012.07.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872926093&doi=10.1016%2fj.infsof.2012.07.017&partnerID=40&md5=c6cec005fc4487c1f4b94baa401b3d07","Conference paper","Final","","Scopus","2-s2.0-84872926093"
"Stoppel F.; Mannchen A.; Niekiel F.; Beer D.; Giese T.; Wagner B.","Stoppel, Fabian (55001784800); Mannchen, Andreas (55920513600); Niekiel, Florian (55964921900); Beer, Daniel (8913059300); Giese, Thorsten (56348205500); Wagner, Bernhard (7402578091)","55001784800; 55920513600; 55964921900; 8913059300; 56348205500; 7402578091","New integrated full-range MEMS speaker for in-ear applications","2018","Proceedings of the IEEE International Conference on Micro Electro Mechanical Systems (MEMS)","2018-January","","","1068","1071","3","71","10.1109/MEMSYS.2018.8346744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047004383&doi=10.1109%2fMEMSYS.2018.8346744&partnerID=40&md5=1aa7ad6eb8b00dfad76805518228bcd6","Conference paper","Final","","Scopus","2-s2.0-85047004383"
"Kale G.; Kulkarni M.A.; Arun S.; Bhagate R.","Kale, Gajanan (56522654700); Kulkarni, Mukund Arvind (57189095411); Arun, S. (59581463600); Bhagate, Rajkumar (55679079900)","56522654700; 57189095411; 59581463600; 55679079900","NVH challenges and solutions to mitigate cabin noise in electric vehicles","2016","2015 IEEE International Transportation Electrification Conference, ITEC-India 2015","","","7386867","","","","5","10.1109/ITEC-India.2015.7386867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965102590&doi=10.1109%2fITEC-India.2015.7386867&partnerID=40&md5=abe50fddcae3e5908206b1a1b370ecf0","Conference paper","Final","","Scopus","2-s2.0-84965102590"
"García-Arca J.; Comesaña-Benavides J.A.; Garrido A.T.G.-P.; Prado-Prado J.C.","García-Arca, Jesús (15757731300); Comesaña-Benavides, José A. (55279823300); Garrido, A. Trinidad González-Portela (55966426700); Prado-Prado, J.Carlos (6506733203)","15757731300; 55279823300; 55966426700; 6506733203","Rethinking the box for sustainable logistics","2020","Sustainability (Switzerland)","12","6","1870","","","","21","10.3390/su12051870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082609856&doi=10.3390%2fsu12051870&partnerID=40&md5=491566bad8a23dff5901c4755579aef0","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85082609856"
"Canete A.; Amor M.; Fuentes L.","Canete, Angel (57210886346); Amor, Mercedes (7004952527); Fuentes, Lidia (7006580503)","57210886346; 7004952527; 7006580503","Energy-Efficient Deployment of IoT Applications in Edge-Based Infrastructures: A Software Product Line Approach","2021","IEEE Internet of Things Journal","8","22","","16427","16439","12","11","10.1109/JIOT.2020.3030197","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118838881&doi=10.1109%2fJIOT.2020.3030197&partnerID=40&md5=5b9ae5cdd20610a624dd3ea32799dd8d","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85118838881"
"Pereira J.A.; Schulze S.; Krieter S.; Ribeiro M.; Saake G.","Pereira, Juliana Alves (56023378200); Schulze, Sandro (35225243700); Krieter, Sebastian (57186595700); Ribeiro, Márcio (57199329234); Saake, Gunter (7004621677)","56023378200; 35225243700; 57186595700; 57199329234; 7004621677","A context-aware recommender system for extended software product line configurations","2018","ACM International Conference Proceeding Series","","","","97","104","7","12","10.1145/3168365.3168373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044376567&doi=10.1145%2f3168365.3168373&partnerID=40&md5=e573019071ad84a4fb839c01c5b9fd8f","Conference paper","Final","","Scopus","2-s2.0-85044376567"
