id,arquivo,modelo,prompt_name,Encontrados dos Selecionados da revisão,Encontrados do Total da revisão,Total da pesquisa,Selecionados/Total_revisao,Selecionados/Total_busca,Revisao/Total_busca,F1 Score,article,answer,execution_time
0,scopus (0).csv,gemma3:12b,prompt0,3.0,4.0,148.0,0.11111,0.02027,0.02703,0.02317,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""product line"" OR ""feature-oriented programming"") AND (""non-functional properties"" OR ""performance"" OR ""footprint"" OR ""energy"" OR ""quality attributes"" OR ""optimization"" OR ""variability management"") AND (""machine learning"" OR ""ML"" OR ""artificial intelligence"" OR ""AI"" OR ""data analysis"" OR ""predictive modeling"")",58.33
1,scopus (1).csv,gemma3:12b,prompt0,4.0,10.0,1929.0,0.14815,0.00207,0.00518,0.00296,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""product line"" OR ""variability management"" OR ""feature-based development"") AND (""non-functional properties"" OR ""NFP"" OR ""quality attributes"" OR ""performance"" OR ""size"" OR ""binary size"" OR ""guarantees"" OR ""quality of service"" OR ""QoS"") AND (""measurement"" OR ""metrics"" OR ""assessment"" OR ""evaluation"" OR ""analysis"")",27.02
10,scopus (10).csv,gemma3:12b,prompt2,1.0,1.0,7.0,0.03704,0.14286,0.14286,0.14286,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR SPL OR ""product line engineering"" OR ""product family"" OR ""variant management"" OR ""variability management"" OR ""feature-oriented programming"") AND (""non-functional properties"" OR ""quality attributes"" OR ""performance"" OR ""footprint"" OR ""energy consumption"" OR ""scalability"" OR ""reliability"" OR ""maintainability"" OR ""usability"" OR ""security"") AND (""optimization"" OR ""optimization techniques"" OR ""performance tuning"" OR ""trade-off analysis"" OR ""quality optimization"") AND (""measurement"" OR ""assessment"" OR ""evaluation"" OR ""profiling"" OR ""benchmarking"") AND (""feature selection"" OR ""variant derivation"" OR ""configuration"" OR ""customization"") AND (""case studies"" OR ""application domains"" OR ""real-world applications"")",54.33
11,scopus (11).csv,gemma3:12b,prompt2,1.0,1.0,87.0,0.03704,0.01149,0.01149,0.01149,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""product family"" OR ""software variants"" OR ""variant management"") AND (""non-functional properties"" OR ""quality attributes"" OR ""performance"" OR ""reliability"" OR ""security"" OR ""usability"" OR ""maintainability"" OR ""scalability"" OR ""efficiency"" OR ""binary size"") AND (""measurement"" OR ""metrics"" OR ""assessment"" OR ""evaluation"" OR ""analysis"" OR ""testing"" OR ""validation"") AND (""configuration"" OR ""derivation"" OR ""generation"" OR ""customization"" OR ""adaptation"") AND (""software modules"" OR ""code units"" OR ""components"" OR ""artifacts"")",40.47
12,scopus (12).csv,gemma3:12b,prompt2,0.0,14.0,150.0,0.0,0.0,0.09333,0.0,Machine learning techniques to predict software defect,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""neural network"" OR ""deep learning"" OR ""classification"" OR ""prediction"" OR ""pattern recognition"") AND (""software defect"" OR ""defect prediction"" OR ""fault prediction"" OR ""bug prediction"" OR ""fault detection"" OR ""error prediction"" OR ""software quality"" OR ""code quality"") AND (""source code"" OR ""codebase"" OR ""software project"" OR ""software development"" OR ""code analysis"" OR ""software metrics"" OR ""code metrics"") AND (""feature selection"" OR ""variable selection"" OR ""attribute selection"" OR ""dimensionality reduction"" OR ""importance ranking"") AND (""accuracy"" OR ""sensitivity"" OR ""specificity"" OR ""performance"" OR ""effectiveness"")",45.7
13,scopus (13).csv,gemma3:12b,prompt2,1.0,3.0,315.0,0.03704,0.00317,0.00952,0.00476,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""data mining"" OR ""artificial intelligence"" OR ""AI"" OR ""predictive modeling"") AND (""product line"" OR ""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"" OR ""variant generation"" OR ""configuration management"" OR ""feature engineering"") AND (""constraint"" OR ""constraints"" OR ""rules"" OR ""dependencies"" OR ""relationships"" OR ""restrictions"" OR ""limitations"" OR ""validation"" OR ""verification"") AND (""oracle"" OR ""assessment"" OR ""evaluation"" OR ""testing"" OR ""quality assurance"" OR ""correctness"" OR ""validation"")",44.21
14,scopus (14).csv,gemma3:12b,prompt2,1.0,1.0,1.0,0.03704,1.0,1.0,1.0,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable system*"" OR ""variant generation"" OR ""product configurator"" OR ""product variation"" OR ""system configuration"" OR ""feature-based system*"" OR ""system design space"") AND (""performance prediction"" OR ""performance modeling"" OR ""performance evaluation"" OR ""system analysis"" OR ""simulation"" OR ""estimation"" OR ""modeling and simulation"") AND (""sampling"" OR ""sample selection"" OR ""data selection"" OR ""subset selection"" OR ""experimental design"") AND (""feature frequency"" OR ""feature coverage"" OR ""attribute frequency"" OR ""attribute coverage"" OR ""characteristic frequency"" OR ""characteristic coverage"")",33.73
15,scopus (15).csv,mistral-nemo:latest,prompt0,5.0,8.0,2140.0,0.18519,0.00234,0.00374,0.00288,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"") AND (""non-functional properties"" OR ""NFP"" OR ""quality attributes"" OR ""performance"" OR ""footprint"" OR ""energy efficiency"")",21.51
16,scopus (16).csv,mistral-nemo:latest,prompt0,6.0,10.0,2687.0,0.22222,0.00223,0.00372,0.00279,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"") AND (""non-functional property"" OR ""functional property"" OR ""performance guarantee"" OR ""binary size"" OR ""code unit"" OR ""feature"" OR ""configuration process"")",9.06
17,scopus (17).csv,mistral-nemo:latest,prompt0,1.0,15.0,756.0,0.03704,0.00132,0.01984,0.00248,Machine learning techniques to predict software defect,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"") AND (""software defect"" OR ""defect prediction"" OR ""software fault"")",6.07
18,scopus (18).csv,mistral-nemo:latest,prompt0,1.0,55.0,12770.0,0.03704,8e-05,0.00431,0.00015,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"") AND (""product line engineering"" OR ""software product line"" OR ""SPL"" OR ""variability management"" OR ""constraints"" OR ""configuration"" OR ""product-line constraints"" OR ""cross-tree constraints"")",10.06
19,scopus (19).csv,mistral-nemo:latest,prompt0,5.0,5.0,36.0,0.18519,0.13889,0.13889,0.13889,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable systems"" OR ""software product line"" OR ""SPL"") AND (""performance prediction"" OR ""sampling strategies"" OR ""measurement effort"")",5.18
2,scopus (2).csv,gemma3:12b,prompt0,0.0,9.0,282.0,0.0,0.0,0.03191,0.0,Machine learning techniques to predict software defect,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""neural network"" OR ""PNN"" OR ""CART"" OR ""J48"" OR ""data mining"") AND (""software defect"" OR ""defect prediction"" OR ""fault prediction"" OR ""bug prediction"" OR ""fault detection"" OR ""error prediction"") AND (""source code"" OR ""code metrics"" OR ""software project"" OR ""project management"")",25.98
20,scopus (20).csv,mistral-nemo:latest,prompt1,3.0,4.0,159.0,0.11111,0.01887,0.02516,0.02156,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"") AND (""non-functional properties"" OR ""NFP"" OR ""quality attributes"" OR ""performance optimization"" OR ""footprint optimization"" OR ""energy optimization"")",9.44
21,scopus (21).csv,mistral-nemo:latest,prompt1,8.0,12.0,513.0,0.2963,0.01559,0.02339,0.01871,Measuring non-functional properties in software product lines for product derivation,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"") AND (""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"" OR ""feature configuration"" OR ""non-functional properties"" OR ""performance optimization"")",9.34
22,scopus (22).csv,mistral-nemo:latest,prompt1,1.0,16.0,954.0,0.03704,0.00105,0.01677,0.00197,Machine learning techniques to predict software defect,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"") AND (""software defect"" OR ""defect prediction"" OR ""software quality"")",6.18
23,scopus (23).csv,mistral-nemo:latest,prompt1,7.0,9.0,290.0,0.25926,0.02414,0.03103,0.02716,Using machine learning to infer constraints for product lines,"(""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"") AND (""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"" OR ""feature modeling"" OR ""cross-tree constraints"")",9.13
24,scopus (24).csv,mistral-nemo:latest,prompt1,5.0,5.0,36.0,0.18519,0.13889,0.13889,0.13889,Cost-efficient sampling for performance prediction of configurable systems,"(""configurable systems"" OR ""software product line"" OR ""SPL"") AND (""performance prediction"" OR ""sampling strategies"" OR ""measurement effort"")",5.5
25,scopus (25).csv,mistral-nemo:latest,prompt2,2.0,3.0,5.0,0.07407,0.4,0.6,0.48,SPL Conqueror: Toward optimization of non-functional properties in software product lines,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"") AND (""non-functional properties"" OR ""quality attributes"" OR ""performance optimization"" OR ""footprint optimization"" OR ""energy efficiency"") AND (""measurement"" OR ""quantification"" OR ""assessment"") AND (""variant derivation"" OR ""product configuration"" OR ""feature selection"")",14.18
26,scopus (26).csv,mistral-nemo:latest,prompt2,6.0,9.0,4195.0,0.22222,0.00143,0.00215,0.00172,Measuring non-functional properties in software product lines for product derivation,"(""software product line"" OR ""SPL"" OR ""product line engineering"" OR ""variability management"") AND (""non-functional property"" OR ""quality attribute"" OR ""performance"" OR ""binary size"" OR ""measurement"" OR ""optimization"")",8.41
27,scopus (27).csv,mistral-nemo:latest,prompt2,0.0,0.0,5.0,0.0,0.0,0.0,,Machine learning techniques to predict software defect,"(""software defect"" OR ""defect prediction"") AND (""machine learning"" OR ""ML"" OR ""supervised learning"" OR ""unsupervised learning"" OR ""PNN"" OR ""CART"" OR ""J48"") AND (""source code metrics"" OR ""code entities"" OR ""social structure of software project"")",10.65
