ACM,IEEE,SPRINGER,SCIENCE,Database,cite,author,title,acronym,booktitle,pages,Start Page,End Page,#,year,publisher,doi,Link,IC1,IC2,IC3,EC1,EC2,EC3,Selected,Note
#N/A,#N/A,#N/A,#N/A,Scopus,,"Lee C.-Y., Tsai T.-L.","Data science framework for variable selection, metrology prediction, and process control in TFT-LCD manufacturing",,Robotics and Computer-Integrated Manufacturing,76-87,76,87,12,2019,Elsevier Ltd,10.1016/j.rcim.2018.07.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050872315&doi=10.1016%2fj.rcim.2018.07.013&partnerID=40&md5=e71db1c8960f584f96cdc051bc5fa3cb,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for metrology prediction
#N/A,#N/A,#N/A,#N/A,Scopus,,"Al-Sarem M., Emara A.-H.",Analysis the arabic authorship attribution using machine learning methods: Application on islamic fatwā,,Advances in Intelligent Systems and Computing,221-229,221,229,9,2019,Springer Verlag,10.1007/978-3-319-99007-1_21,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053889862&doi=10.1007%2f978-3-319-99007-1_21&partnerID=40&md5=cb90562dfad5641a9c49ae60a116eb58,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for analysis the arabic authorship attribution
#N/A,#N/A,#N/A,#N/A,Scopus,,"Khatavkar V., Kulkarni P.",Trends in document analysis,,Advances in Intelligent Systems and Computing,249-262,249,262,14,2019,Springer Verlag,10.1007/978-981-13-1402-5_19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052381026&doi=10.1007%2f978-981-13-1402-5_19&partnerID=40&md5=39f7d7af7641ad574268ecb817373118,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Use of learning techniques for document analysis 
#N/A,#N/A,#N/A,#N/A,Scopus,,"Peng Y., Sehdev P., Liu S., Li J., Wang X.","l2,1-norm minimization based negative label relaxation linear regression for feature selection",,Pattern Recognition Letters,170-178,170,178,9,2018,Elsevier B.V.,10.1016/j.patrec.2018.10.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055272013&doi=10.1016%2fj.patrec.2018.10.016&partnerID=40&md5=c2b23addd31d04f8ecf097a803e21d52,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new feature selection method for prediction
#N/A,#N/A,#N/A,#N/A,Scopus,,"Zheng W., Xu C., Yang J., Gao J., Zhu F.",Low-rank structure preserving for unsupervised feature selection,,Neurocomputing,360-370,360,370,11,2018,Elsevier B.V.,10.1016/j.neucom.2018.06.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050119369&doi=10.1016%2fj.neucom.2018.06.010&partnerID=40&md5=14b92c069000782447307fe7ae1ba90c,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new feature selection method for prediction
#N/A,#N/A,#N/A,#N/A,Scopus,,"Fang Y., Li Y., Lei C., Li Y., Deng X.",Hypergraph expressing low-rank feature selection algorithm,,Multimedia Tools and Applications,29551-29572,29551,29572,22,2018,Springer New York LLC,10.1007/s11042-017-5235-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030150904&doi=10.1007%2fs11042-017-5235-3&partnerID=40&md5=d456a872f65cb7a0db717a3c0cde937b,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new feature selection method for prediction
#N/A,#N/A,#N/A,#N/A,Scopus,,"Lu G., Li B., Yang W., Yin J.",Unsupervised feature selection with graph learning via low-rank constraint,,Multimedia Tools and Applications,29531-29549,29531,29549,19,2018,Springer New York LLC,10.1007/s11042-017-5207-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030178091&doi=10.1007%2fs11042-017-5207-7&partnerID=40&md5=05c0a1dd9bde5f489b944eb265b1a171,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new feature selection method for prediction
#N/A,#N/A,#N/A,#N/A,Scopus,,"Kim Y., Kim S.B.",Collinear groupwise feature selection via discrete fusion group regression,,Pattern Recognition,1-13,1,13,13,2018,Elsevier Ltd,10.1016/j.patcog.2018.05.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047213169&doi=10.1016%2fj.patcog.2018.05.013&partnerID=40&md5=0d7c0bdd07089b1699864b16e6d72a22,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new feature selection method for prediction
#N/A,#N/A,#N/A,#N/A,Scopus,,"Feng S., Duarte M.F.",Graph autoencoder-based unsupervised feature selection with broad and local data structure preservation,,Neurocomputing,310-323,310,323,14,2018,Elsevier B.V.,10.1016/j.neucom.2018.05.117,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048761930&doi=10.1016%2fj.neucom.2018.05.117&partnerID=40&md5=daefdc2371e5b2ccd5814ebebbc2e5f9,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new feature selection method for prediction
#N/A,#N/A,#N/A,#N/A,Scopus,,"Sreevani, Murthy C.A., Chanda B.",Generation of compound features based on feature interaction for classification,,Expert Systems with Applications,61-73,61,73,13,2018,Elsevier Ltd,10.1016/j.eswa.2018.04.033,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046774158&doi=10.1016%2fj.eswa.2018.04.033&partnerID=40&md5=286078bb4f9fbdf04ac23ac5ed05c64d,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NO,Proposal of a new feature selection method for prediction
