"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Fischer S.","Fischer, Stefan (56683898500)","56683898500","A Case Study on the Evolution of Configuration Options of a Highly-Configurable Software System","2021","Proceedings - 2021 IEEE International Conference on Software Analysis, Evolution and Reengineering, SANER 2021","","","9426051","630","635","5","2","10.1109/SANER50967.2021.00079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106655336&doi=10.1109%2fSANER50967.2021.00079&partnerID=40&md5=6a08c4f35ab3862e056be267cea28678","Conference paper","Final","","Scopus","2-s2.0-85106655336"
"Cho H.U.; Nam Y.; Choi E.J.; Choi Y.J.; Kim H.; Bae S.; Moon J.W.","Cho, Hye Un (57218509641); Nam, Yujin (24449621900); Choi, Eun Ji (57202136458); Choi, Young Jae (57205488399); Kim, Hongkyo (57844858400); Bae, Sangmu (57203300086); Moon, Jin Woo (36915594500)","57218509641; 24449621900; 57202136458; 57205488399; 57844858400; 57203300086; 36915594500","Comparative analysis of the optimized ANN, SVM, and tree ensemble models using Bayesian optimization for predicting GSHP COP","2021","Journal of Building Engineering","44","","103411","","","","42","10.1016/j.jobe.2021.103411","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122836500&doi=10.1016%2fj.jobe.2021.103411&partnerID=40&md5=90a95462a250b2702c77f3cf6504ed53","Article","Final","","Scopus","2-s2.0-85122836500"
"Meng E.; Huang S.; Huang Q.; Fang W.; Wang H.; Leng G.; Wang L.; Liang H.","Meng, Erhao (57192913320); Huang, Shengzhi (56083175200); Huang, Qiang (55498128600); Fang, Wei (57022851600); Wang, Hao (57212881406); Leng, Guoyong (55073323400); Wang, Lu (57201655622); Liang, Hao (57216806991)","57192913320; 56083175200; 55498128600; 57022851600; 57212881406; 55073323400; 57201655622; 57216806991","A Hybrid VMD-SVM Model for Practical Streamflow Prediction Using an Innovative Input Selection Framework","2021","Water Resources Management","35","4","","1321","1337","16","44","10.1007/s11269-021-02786-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101923345&doi=10.1007%2fs11269-021-02786-7&partnerID=40&md5=0425fadecdeb8f70ed2650ca7a8f06d7","Article","Final","","Scopus","2-s2.0-85101923345"
"Hu W.; Huang Z.; Liu X.; Lyu H.","Hu, Weijie (57223363969); Huang, Zenghui (57226054174); Liu, Xuejun (55717391400); Lyu, Hongqiang (56131336900)","57223363969; 57226054174; 55717391400; 56131336900","Missile aerodynamic performance prediction of Gaussian process through automatic kernel construction; [基于自动核构造高斯过程的导弹气动性能预测]","2021","Hangkong Xuebao/Acta Aeronautica et Astronautica Sinica","42","4","524093","","","","10","10.7527/S1000-6893.2020.24093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105717099&doi=10.7527%2fS1000-6893.2020.24093&partnerID=40&md5=93fd4519c7315bf1b12db1590a43e405","Article","Final","","Scopus","2-s2.0-85105717099"
"Yuan W.; Lv W.; Wang H.; Li S.; Ma H.","Yuan, Wei (57202637785); Lv, Wenjie (55511324800); Wang, Hualin (8974614500); Li, Shouzhuang (57224168159); Ma, Hongpeng (57211083515)","57202637785; 55511324800; 8974614500; 57224168159; 57211083515","Performance prediction of suspension freeze crystallization for the treatment of liquid hazardous wastes via machine learning methods","2021","Journal of Cleaner Production","329","","129629","","","","10","10.1016/j.jclepro.2021.129629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119036691&doi=10.1016%2fj.jclepro.2021.129629&partnerID=40&md5=599af70bddeb4bc1581ba3db3bb74500","Article","Final","","Scopus","2-s2.0-85119036691"
"Yasuda T.; Ookawara S.; Yoshikawa S.; Matsumoto H.","Yasuda, Tomoki (26425350600); Ookawara, Shinichi (7005004002); Yoshikawa, Shiro (56924544100); Matsumoto, Hideyuki (35240947600)","26425350600; 7005004002; 56924544100; 35240947600","Machine learning and data-driven characterization framework for porous materials: Permeability prediction and channeling defect detection","2021","Chemical Engineering Journal","420","","130069","","","","38","10.1016/j.cej.2021.130069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107119652&doi=10.1016%2fj.cej.2021.130069&partnerID=40&md5=c44110e0443983bad6c17f2b96e04d3d","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85107119652"
"Bandekar A.; Dharmadhikari N.","Bandekar, Ameya (57211664664); Dharmadhikari, Nitin (57291126100)","57211664664; 57291126100","Off-Highway Machine Fuel Performance Prediction through Engine Data Analytics","2021","SAE Technical Papers","","2021","","","","","0","10.4271/2021-26-0319","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116790509&doi=10.4271%2f2021-26-0319&partnerID=40&md5=f7f82b3d06d590cafd15b78c0710ad0a","Conference paper","Final","","Scopus","2-s2.0-85116790509"
"Du B.; Lund P.D.; Wang J.; Kolhe M.; Hu E.","Du, Bin (35200864600); Lund, Peter D. (57200864492); Wang, Jun (56969095900); Kolhe, Mohan (55370084800); Hu, Eric (7102216806)","35200864600; 57200864492; 56969095900; 55370084800; 7102216806","Comparative study of modelling the thermal efficiency of a novel straight through evacuated tube collector with MLR, SVR, BP and RBF methods","2021","Sustainable Energy Technologies and Assessments","44","","101029","","","","31","10.1016/j.seta.2021.101029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101391879&doi=10.1016%2fj.seta.2021.101029&partnerID=40&md5=1622cbb44c1541942e729ff6f5119501","Article","Final","","Scopus","2-s2.0-85101391879"
"Michelon G.K.; Linsbauer L.; Assunção W.K.G.; Fischer S.; Egyed A.","Michelon, Gabriela K. (57201497985); Linsbauer, Lukas (55853897300); Assunção, Wesley K.G. (37361009900); Fischer, Stefan (56683898500); Egyed, Alexander (56235607600)","57201497985; 55853897300; 37361009900; 56683898500; 56235607600","A Hybrid Feature Location Technique for Re-engineeringSingle Systems into Software Product Lines","2021","ACM International Conference Proceeding Series","","","3442403","","","","18","10.1145/3442391.3442403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101062048&doi=10.1145%2f3442391.3442403&partnerID=40&md5=ba1e555d94b77e8a09bb822951852b0c","Conference paper","Final","","Scopus","2-s2.0-85101062048"
"Larsson H.; Taghia J.; Moradi F.; Johnsson A.","Larsson, Hannes (57226824319); Taghia, Jalil (24825655500); Moradi, Farnaz (39861987100); Johnsson, Andreas (8291681900)","57226824319; 24825655500; 39861987100; 8291681900","Towards Source Selection in Transfer Learning for Cloud Performance Prediction","2021","Proceedings of the IM 2021 - 2021 IFIP/IEEE International Symposium on Integrated Network Management","","","9463968","599","603","4","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106064486&partnerID=40&md5=1f45424d77eefae794eb74f2286dfe3f","Conference paper","Final","","Scopus","2-s2.0-85106064486"
